learner_id,signup_date,age,city_tier,education,hours_per_week_pledged,weekly_logins_avg,assignments_submitted,forum_posts,video_watch_pct,has_mentor,device,referral_source,payment_plan,days_since_last_login,certificate_issued,final_score,notes,completed_course
L-02290,2026-04-19,19,1,Masters,,2.81,5,5,57.7,FALSE,desktop,school_partner,scholarship,8,TRUE,84.3,duplicate?  check,1
L-02649,2026-05-09,21,1,High School,8.2,3.94,10,4,57.7,FALSE,laptop,friend,free,16,0,,asked about certificate,0
L-01949,2026-05-15,18,2,Bachelors,10.2,,3,4,26.5,No,laptop,school_partner,scholarship,30,FALSE,,,0
L-00648,2026-04-01,26,1,Diploma,4.4,2.24,4,0,31.2,No,mobile,friend,free,5,no,,,0
L-01912,2026-02-01,21,3,High School,4.3,1.68,0,6,23.5,Y,mobile,other,free,25,FALSE,,asked about certificate,0
L-02703,2026-02-12,300,1,Other,6.7,4.42,2,5,19.6,TRUE,mobile,instagram,paid,27,N,51.5,asked about certificate,0
L-02004,2026-01-03,,1,Bachelors,5.8,2.82,0,6,59.3,no,desktop,school_partner,scholarship,19,N,,requested extension,0
L-00584,2026-04-24,23,2,Bachelors,3.1,6.44,5,4,,N,Mobile,ngo_outreach,scholarship,18,1,68.3,,1
L-01587,2026-05-17,19,2,Bachelors,4.5,1.34,0,0,51.8,FALSE,desktop,youtube,scholarship,36,No,,,0
L-01809,2026-06-20,17,T3,High School,5.4,5.4,7,4,75.9,0,laptop,friend,paid,23,Y,84.3,asked about certificate,1
L-00387,16-02-2026,21,2,High-School,6.2,3.5,1,4,14.7,no,laptop,ngo_outreach,free,36,FALSE,,requested extension,0
L-02171,09/03/2026,21,2,Bachelors,5.5,3.59,10,1,48.2,0,laptop,other,scholarship,19,No,,,0
L-01194,2026-04-19,23,1,B.Tech,6.1,2.69,1,1,102.6,N,mobile,other,free,12,N,,requested extension,0
L-02376,20-06-2026,20,1,Diploma,6.1,0.62,0,2,26.9,TRUE,mobile,school_partner,free,30,FALSE,,follow up next intake,0
L-00590,19-06-2026,15,tier-2,High School,3.8,4.41,2,6,55.0,0,laptop,instagram,scholarship,22,Yes,75.6,n/a,1
L-02046,2026-05-22,23,2,Other,2.2,3.61,1,3,37.4,N,mobile,youtube,free,25,FALSE,,,0
L-00064,2026-01-19,22,T2,Bachelors,8.4,1.69,8,0,17.7,Yes,ipad,instagram,free,5,Y,99.7,duplicate?  check,1
L-00779,26-05-2026,26,1,Bachelors,8.6,1.99,0,3,42.7,0,desktop,school_partner,scholarship,18,0,,follow up next intake,0
L-02622,18-02-2026,20,1,Diploma,10.9,,6,2,33.5,1,mobile,youtube,free,10,1,82.4,called on phone,1
L-00117,2026-04-20,15,1,Bachelors,12.0,6.18,7,5,67.4,N,PC,instagram,free,9,Yes,62.5,called on phone,1
L-00066,2026-05-17,20,2,Bachelors,7.8,5.15,6,4,,1,tablet,instagram,scholarship,13,TRUE,81.3,,1
L-00971,16-06-2026,17,2,High School,10.9,3.61,4,2,22.3,No,mobile,instagram,free,21,Y,,,0
L-02502,2026-04-02,22,2,High School,1.0,5.29,5,3,25.0,No,phone,school_partner,scholarship,16,0,,follow up next intake,0
L-01420,2026-01-26,23,1,Diploma,318.3,1.12,1,1,40.3,0,mobile,other,free,44,No,,,0
L-01514,07-02-2026,,1,High School,15.0,3.76,5,5,,FALSE,desktop,youtube,free,1,No,48.1,requested extension,0
L-02030,2026-06-28,23,T2,Bachelors,10.3,4.86,6,1,72.4,FALSE,mobile,instagram,paid,4,yes,72.6,asked about certificate,1
L-00319,04/05/2026,25,1,,3.4,0.0,5,2,23.9,no,desktop,school_partner,paid,23,1,66.2,requested extension,1
L-00228,2026-01-19,24,3,Bachelors,10.6,2.62,6,6,63.9,N,tablet,instagram,free,5,yes,84.2,,1
L-00458,13-02-2026,15,2,High School,4.1,4.97,5,5,34.6,1,laptop,instagram,paid,9,yes,62.6,n/a,1
L-02354,2026-03-18,18,2,High School,8.5,3.25,7,4,92.0,0,Laptop,friend,free,4,TRUE,74.3,,1
L-00511,2026-03-25,,1,Diploma,7.9,,6,7,59.1,N,mobile,ngo_outreach,scholarship,6,FALSE,,n/a,0
L-01196,2026-05-02,,3,highschool,8.6,5.39,2,4,59.6,FALSE,mobile,school_partner,paid,4,yes,80.6,,1
L-01523,15-02-2026,22,3,High School,8.1,2.6,10,3,66.0,Yes,desktop,instagram,free,11,1,67.0,called on phone,1
L-00788,2026-02-12,18,1,Bachelors,,2.03,1,2,38.5,Yes,mobile,school_partner,free,41,N,34.6,follow up next intake,0
L-00406,2026-01-03,20,2,high school,8.4,3.65,4,1,68.5,yes,Tablet,ngo_outreach,free,2,N,,,0
L-02243,2026-04-12,28,2,Diploma,4.4,2.87,6,7,23.8,Yes,tablet,friend,scholarship,40,TRUE,73.0,n/a,1
L-01812,2026-06-06,23,2,Bachelors,7.2,4.21,6,2,60.1,1,mobile,friend,scholarship,25,TRUE,74.2,follow up next intake,1
L-02281,13-03-2026,20,2,Bachelors,12.4,3.63,3,8,18.9,no,notebook,instagram,free,24,0,,called on phone,0
L-02675,2026-02-01,20,1,Diploma,3.4,0.74,0,1,0.0,No,laptop,ngo_outreach,scholarship,31,no,,requested extension,0
L-01789,2026-02-01,19,1,Diploma,9.6,1.14,0,1,0.0,Yes,laptop,school_partner,free,26,0,,asked about certificate,0
L-01470,2026-04-07,19,2,DIPLOMA,9.0,5.5,5,1,56.6,No,desktop,instagram,scholarship,8,0,,,0
L-02766,2026-05-12,23,2,Diploma,5.0,3.21,6,5,81.7,0,mobile,youtube,free,37,N,,requested extension,0
L-01438,2026-03-05,16,1,B.Tech,2.3,2.48,6,4,24.4,No,mobile,youtube,free,21,1,67.6,,1
L-00450,2026-06-02,18,2,Bachelors,7.6,2.82,3,2,55.6,Y,mobile,instagram,paid,20,N,,,0
L-00339,06/04/2026,20,2,Bachelors,10.7,3.8,5,6,31.5,,mobile,friend,scholarship,17,no,,,0
L-01366,2026-04-06,19,2,bachelors,3.5,0.11,2,7,21.3,Yes,MOBILE,instagram,scholarship,11,no,,duplicate?  check,0
L-02493,06/02/2026,18,,Other,7.1,3.32,5,2,64.4,yes,mobile,friend,paid,9,Y,74.1,-,1
L-00122,2026-02-03,25,2,other,8.7,2.57,1,2,20.7,,desktop,friend,scholarship,59,no,,-,0
L-00401,2026-01-06,15,T2,Bachelors,7.1,4.29,6,2,81.8,No,laptop,instagram,scholarship,13,Yes,91.2,-,1
L-01345,2026-04-04,24,2,Bachelors,,3.54,4,1,61.7,0,laptop,instagram,free,22,no,,requested extension,0
L-01764,2026-04-07,21,Tier 3,highschool,4.3,5.42,4,11,63.4,N,desktop,friend,scholarship,22,FALSE,,-,0
L-00156,2026-05-10,32,3,High School,9.3,1.96,2,2,33.7,yes,mobile,friend,scholarship,6,No,,follow up next intake,0
L-01923,2026-04-25,18,2,Diploma,8.0,3.51,10,4,73.3,1,Mobile,other,scholarship,5,1,67.6,requested extension,1
L-00866,25/06/2026,23,2,Diploma,6.2,4.66,6,9,100.0,,mobile,other,free,8,1,72.9,called on phone,1
L-01038,2026-03-09,18,1,DIPLOMA,13.7,3.33,2,6,72.4,No,desktop,school_partner,scholarship,24,no,62.0,follow up next intake,0
L-01483,02/04/2026,26,2,Diploma,5.1,4.03,6,6,44.8,N,laptop,school_partner,paid,3,Y,83.4,,1
L-00086,08-04-2026,16,2,Diploma,11.7,,7,3,47.9,no,laptop,instagram,free,21,no,,n/a,0
L-00273,2026-01-21,20,Tier 3,High School,6.9,3.93,5,8,44.1,yes,mobile,instagram,paid,4,Y,76.5,duplicate?  check,1
L-02084,2026-05-28,,3,Masters,4.1,3.36,2,1,41.1,no,mobile,school_partner,free,22,N,,-,0
L-02160,2026-06-04,20,2,High School,,4.79,5,9,84.5,0,desktop,school_partner,free,20,yes,56.3,n/a,1
L-02781,2026-05-15,22,3,Diploma,11.0,2.63,6,4,37.0,1,mobile,friend,free,10,0,,-,0
L-02588,2026-06-09,25,1,OTHER,2.0,0.41,1,1,4.4,No,tablet,friend,free,21,N,,n/a,0
L-01183,2026-03-17,15,2,Diploma,7.9,5.34,5,2,25.7,N,laptop,ngo_outreach,free,28,no,,,0
L-01989,11/06/2026,25,Tier 1,Bachelors,11.1,4.13,5,4,65.1,1,mobile,friend,paid,4,1,69.5,,1
L-00138,2026-05-27,,3,High School,1.6,,0,0,6.7,1,laptop,youtube,free,28,0,,-,0
L-00781,2026-03-24,25,2,Bachelors,7.1,4.59,5,1,54.1,0,laptop,youtube,scholarship,15,Y,75.3,n/a,1
L-00315,2026-06-18,20,2,High School,3.4,2.06,6,1,71.6,N,mobile,friend,free,32,0,,called on phone,0
L-00034,2026-01-25,17,1,Bachelors,8.2,4.04,3,10,89.8,No,notebook,friend,free,3,N,,,0
L-01589,2026-01-17,28,T2,Bachelors,2.9,3.87,7,2,59.7,N,desktop,instagram,scholarship,0,1,73.6,asked about certificate,1
L-01629,09-06-2026,20,3,Bachelors,1.2,0.0,3,0,68.4,no,desktop,friend,paid,23,N,,,0
L-01530,05/05/2026,15,tier-2,High School,9.1,2.5,1,2,50.0,FALSE,mobile,school_partner,paid,14,No,,requested extension,0
L-00190,03-01-2026,,2,Bachelors,7.1,0.2,2,2,0.0,1,mobile,instagram,scholarship,11,0,,,0
L-00855,19-05-2026,24,1,Diploma,1.0,0.36,1,3,51.0,no,mobile,ngo_outreach,scholarship,44,N,,requested extension,0
L-01389,2026-02-13,22,1,High School,3.0,0.18,4,3,17.0,no,mobile,school_partner,free,34,no,,n/a,0
L-01020,2026-04-08,15,3,Masters,10.5,4.01,2,5,64.4,FALSE,laptop,school_partner,paid,20,0,,duplicate?  check,0
L-02729,2026-04-11,22,3,masters,10.0,5.96,7,5,57.4,Yes,mobile,instagram,free,32,Yes,83.3,,1
L-01885,05/01/2026,,2,Bachelors,5.1,,4,5,,1,laptop,youtube,scholarship,12,1,76.6,asked about certificate,1
L-02794,2026-02-26,27,2,High School,10.9,3.61,5,0,1.4,N,mobile,school_partner,paid,4,FALSE,,,0
L-01422,2026-03-03,20,2,Diploma,9.4,0.72,2,1,16.5,1,desktop,school_partner,scholarship,15,yes,73.8,-,1
L-02312,2026-04-05,23,T3,Diploma,1.0,1.53,2,1,14.7,1,mobile,youtube,paid,13,no,,,0
L-02517,22-05-2026,19,3,,9.5,4.29,3,5,,FALSE,mobile,other,free,45,N,,,0
L-02041,2026-05-24,27,1,diploma,9.1,4.92,5,1,38.4,No,mobile,friend,scholarship,24,yes,92.4,asked about certificate,1
L-01358,07-05-2026,20,2,High School,11.4,5.49,6,4,112.9,FALSE,laptop,instagram,free,6,no,80.3,,1
L-02601,2026-02-25,24,1,Other,3.3,0.25,0,1,23.8,N,laptop,ngo_outreach,free,18,no,,duplicate?  check,0
L-01291,04/04/2026,22,2,High School,1.0,2.25,2,0,2.8,0,mobile,friend,scholarship,29,No,45.8,,0
L-01484,2026-01-02,24,3,High School,10.5,7.0,6,4,53.1,yes,PC,school_partner,paid,5,Y,76.4,duplicate?  check,1
L-01026,2026-05-19,21,Tier 2,Bachelors,,4.41,2,12,73.2,Yes,notebook,friend,paid,7,TRUE,91.5,n/a,1
L-01730,22-02-2026,24,T2,High School,3.4,2.98,6,2,0.0,No,mobile,friend,free,5,no,,,0
L-02286,2026-05-06,21,3,other,4.0,,1,0,7.8,Yes,laptop,ngo_outreach,free,42,FALSE,,follow up next intake,0
L-01543,07-03-2026,,2,High School,8.1,,4,4,43.0,N,laptop,school_partner,scholarship,32,N,,-,0
L-00803,16/03/2026,21,3,Diploma,1.3,0.68,0,5,1.6,1,mobile,instagram,free,23,FALSE,,requested extension,0
L-00993,22-03-2026,20,1,High School,7.0,4.64,6,2,,N,Desktop,instagram,free,5,Yes,59.8,,1
L-02383,2026-05-01,24,tier-2,Bachelors,4.4,1.99,4,1,45.3,no,laptop,instagram,scholarship,9,N,,n/a,0
L-02259,2026-03-21,,1,High School,4.1,2.25,0,5,0.0,Y,mobile,school_partner,free,31,0,,,0
L-00532,2026-06-14,,2,Bachelors,11.3,0.0,3,3,0.0,TRUE,mobile,school_partner,free,18,FALSE,,,0
L-02746,2026-06-23,19,tier-3,HS,4.3,5.07,6,1,59.3,0,mobile,school_partner,scholarship,22,Y,82.4,called on phone,1
L-02787,03/04/2026,25,Tier 1,Diploma,,3.98,6,1,43.2,No,laptop,instagram,free,6,1,84.4,called on phone,1
L-00028,2026-01-03,22,2,Bachelors,2.0,3.92,6,9,41.7,yes,desktop,other,scholarship,5,Y,95.5,follow up next intake,1
L-01029,2026-01-05,25,3,Bachelors,9.5,1.87,1,3,14.3,No,laptop,school_partner,paid,25,FALSE,,requested extension,0
L-02498,2026-01-17,21,3,High School,,2.64,0,6,29.5,no,laptop,youtube,scholarship,20,no,,duplicate?  check,0
L-01135,2026-03-02,22,1,High School,7.8,2.5,5,3,,1,laptop,ngo_outreach,free,21,0,,,0
L-01560,2026-02-05,21,2,High School,13.4,5.11,6,7,91.4,0,laptop,ngo_outreach,free,2,Y,92.8,duplicate?  check,1
L-00025,2026-04-15,15,3,Bachelors,8.3,2.94,0,2,104.2,N,notebook,instagram,free,16,0,,,0
L-01570,08-02-2026,23,1,Diploma,8.2,1.53,0,4,9.2,TRUE,tablet,friend,free,32,no,34.4,asked about certificate,0
L-01585,2026-03-11,17,1,High School,3.4,0.72,4,1,64.2,TRUE,mobile,ngo_outreach,free,16,N,,,0
L-02127,2026-04-16,24,1,Bachelors,8.7,2.3,1,3,12.5,0,mobile,instagram,free,7,FALSE,,called on phone,0
L-00157,2026-01-17,26,3,High School,7.3,1.98,4,1,66.8,1,Mobile,friend,free,18,Yes,86.1,,1
L-02530,08/01/2026,-3,1,Masters,8.1,4.31,5,0,86.6,No,Laptop,school_partner,paid,13,TRUE,71.3,follow up next intake,1
L-01290,2026-04-08,20,3,Diploma,4.6,,3,3,54.0,0,Desktop,school_partner,scholarship,45,FALSE,,duplicate?  check,0
L-00390,2026-01-18,,3,,,4.03,7,6,56.7,No,laptop,other,paid,10,Yes,89.0,-,1
L-01800,24/04/2026,15,2,Bachelors,17.6,2.31,8,10,,FALSE,laptop,instagram,scholarship,12,Yes,58.7,,1
L-00465,2026-04-15,,3,Diploma,8.1,3.46,7,5,68.8,TRUE,mobile,youtube,scholarship,19,1,78.5,,1
L-00014,2026-06-20,27,2,High School,11.0,3.02,2,4,60.7,Yes,Mobile,other,scholarship,21,FALSE,,asked about certificate,0
L-02050,23/01/2026,24,2,Diploma,5.6,2.01,6,0,46.3,Yes,mobile,instagram,free,32,Yes,68.0,follow up next intake,1
L-01707,2026-06-19,26,3,highschool,11.2,2.61,0,1,48.5,N,mobile,youtube,scholarship,38,FALSE,,follow up next intake,0
L-02037,2026-05-18,18,T2,Bachelors,9.8,,8,6,100.0,no,laptop,instagram,paid,8,TRUE,76.3,,1
L-02748,10-04-2026,23,1,other,8.5,3.37,6,3,58.3,N,mobile,school_partner,scholarship,16,TRUE,86.8,requested extension,1
L-02098,2026-04-05,32,2,Diploma,5.1,0.0,2,3,32.2,1,desktop,ngo_outreach,scholarship,20,N,,,0
L-02216,02/05/2026,20,tier-2,high school,10.1,2.34,7,7,66.1,TRUE,mobile,friend,free,28,yes,68.3,-,1
L-00681,2026-06-18,23,2,Bachelors,8.4,3.23,1,2,63.3,Y,mobile,youtube,scholarship,22,FALSE,,,0
L-00698,2026-05-03,22,tier-1,Masters,11.7,4.05,8,1,64.0,FALSE,mobile,friend,paid,6,TRUE,84.0,duplicate?  check,1
L-00939,21-06-2026,15,3,High School,13.8,1.26,4,2,37.1,TRUE,mobile,instagram,free,41,N,,,0
L-01207,26-01-2026,19,1,bachelor degree,1.0,2.06,3,0,33.0,no,mobile,other,paid,30,FALSE,,,0
L-01850,2026-03-21,17,1,HS,11.1,3.49,5,3,31.9,TRUE,Laptop,school_partner,free,37,FALSE,,,0
L-01357,01/01/2026,17,1,Masters,1.6,,3,6,70.5,TRUE,mobile,ngo_outreach,free,26,0,,duplicate?  check,0
L-00382,11/04/2026,24,1,High School,12.2,2.83,8,1,62.2,1,mobile,ngo_outreach,free,11,1,73.5,,1
L-01717,2026-04-07,23,2,Diploma,3.3,,5,2,56.4,N,Desktop,instagram,scholarship,14,N,,follow up next intake,0
L-00572,2026-04-28,19,,Bachelors,10.5,3.0,9,6,57.6,0,mobile,instagram,free,25,No,,called on phone,0
L-01062,2026-02-09,22,2,High School,11.3,5.66,5,6,65.4,0,mobile,instagram,free,5,N,,called on phone,0
L-01602,10-06-2026,20,3,High School,1.0,4.12,5,2,58.8,no,mobile,youtube,free,20,0,,requested extension,0
L-00162,20/01/2026,20,1,Bachelors,15.4,3.37,3,1,105.9,Yes,tablet,instagram,scholarship,22,0,,-,0
L-00141,2026-06-23,25,2,Bachelors,3.3,3.22,1,1,14.7,FALSE,MOBILE,instagram,paid,25,no,88.6,asked about certificate,1
L-00813,2026-03-09,22,1,High-School,6.5,4.05,4,2,79.1,no,phone,other,paid,18,yes,63.0,duplicate?  check,1
L-01660,2026-06-19,19,1,High School,9.7,3.39,4,4,65.6,Y,Mobile,youtube,paid,18,No,78.9,called on phone,1
L-01709,2026-02-07,24,1,Diploma,6.8,4.41,2,1,75.3,Y,mobile,school_partner,scholarship,14,No,,n/a,0
L-01048,2026-02-20,20,2,High School,10.3,3.79,4,10,56.6,1,laptop,school_partner,free,17,No,,follow up next intake,0
L-00350,2026-02-27,20,1,highschool,8.2,3.68,3,1,,TRUE,mobile,instagram,free,10,no,,duplicate?  check,0
L-01466,2026-02-18,22,3,Diploma,7.9,2.83,1,3,7.7,FALSE,desktop,school_partner,scholarship,22,0,,n/a,0
L-01093,2026-06-15,26,3,Masters,7.2,5.75,3,3,37.9,no,mobile,instagram,free,5,0,36.1,,0
L-00527,2026-03-21,23,1,Other,10.1,3.79,2,1,27.7,No,mobile,ngo_outreach,scholarship,9,FALSE,,-,0
L-01903,2026-01-26,25,1,Bachelors,11.1,3.0,5,4,55.2,Yes,mobile,friend,free,32,Yes,75.2,,1
L-01202,2026-03-05,23,3,High School,18.4,3.06,5,7,68.2,FALSE,laptop,friend,scholarship,10,Yes,98.0,,1
L-00229,23-03-2026,15,1,,9.9,5.29,7,3,37.6,N,laptop,instagram,free,2,yes,67.3,follow up next intake,1
L-00101,2026-01-03,,2,Other,10.4,4.18,7,4,58.5,No,notebook,school_partner,free,35,Yes,64.5,,1
L-00283,2026-04-20,18,3,Bachelor's,4.2,0.84,2,3,40.5,yes,mobile,school_partner,scholarship,24,1,70.8,called on phone,1
L-02200,2026-05-28,,2,High School,1.0,0.0,0,1,9.5,Y,phone,school_partner,free,32,No,,duplicate?  check,0
L-02666,25-03-2026,16,2,bachelors,,4.35,5,7,74.7,FALSE,laptop,friend,free,12,Y,64.9,-,1
L-00229,23-03-2026,15,1,,9.9,5.29,7,3,37.6,N,laptop,instagram,free,2,yes,67.3,follow up next intake,1
L-01198,2026-02-16,25,3,,10.3,5.59,3,3,68.5,yes,mobile,school_partner,free,4,N,,,0
L-00581,2026-06-04,23,2,High School,15.2,0.78,3,3,18.7,0,tablet,school_partner,free,37,FALSE,,n/a,0
L-01928,2026-02-05,19,2,Bachelors,1.0,2.85,0,2,,yes,desktop,instagram,paid,27,Yes,88.0,n/a,1
L-01319,2026-06-06,23,1,high school,2.3,2.25,2,2,67.6,0,mobile,youtube,free,3,No,,-,0
L-02185,2026-04-11,19,1,HS,7.3,1.3,5,2,30.0,No,desktop,other,scholarship,32,no,,follow up next intake,0
L-02033,28/02/2026,20,3,Diploma,319.0,1.49,1,7,45.1,0,laptop,instagram,scholarship,24,no,51.1,asked about certificate,0
L-00989,2026-02-07,18,1,Diploma,8.0,3.17,4,1,34.9,Yes,laptop,friend,scholarship,19,yes,58.7,,1
L-01412,2026-02-01,22,2,Other,3.4,2.42,5,1,65.0,1,mobile,school_partner,paid,1,1,80.0,requested extension,1
L-00821,2026-05-15,20,2,DIPLOMA,7.0,4.92,2,2,73.0,TRUE,mobile,youtube,scholarship,2,Yes,97.6,,1
L-00904,2026-02-14,18,Tier 2,bachelor degree,9.0,1.48,6,1,,N,mobile,friend,scholarship,1,Y,85.7,duplicate?  check,1
L-01489,08/01/2026,15,3,B.Tech,7.6,2.81,2,1,50.3,N,laptop,school_partner,scholarship,36,N,49.2,,0
L-01834,18-05-2026,,3,Bachelors,1.3,3.13,5,8,69.7,0,laptop,friend,scholarship,19,yes,78.9,n/a,1
L-00684,2026-02-08,21,2,Bachelors,1.0,2.61,3,1,46.5,0,mobile,ngo_outreach,free,26,FALSE,,,0
L-00523,07-03-2026,25,2,High School,2.2,2.52,3,2,35.6,No,laptop,instagram,paid,10,Y,75.0,requested extension,1
L-01307,2026-04-27,26,1,DIPLOMA,7.3,1.83,2,3,41.5,,tablet,youtube,scholarship,9,FALSE,,,0
L-02315,22-03-2026,17,1,Diploma,5.9,3.11,7,3,,FALSE,mobile,instagram,paid,14,yes,73.5,called on phone,1
L-02156,2026-02-15,22,1,High School,9.4,1.08,3,6,40.4,No,Desktop,school_partner,paid,2,Y,80.2,duplicate?  check,1
L-00280,03/04/2026,22,2,Other,7.0,,3,5,43.4,TRUE,laptop,instagram,scholarship,11,0,,called on phone,0
L-00466,2026-02-21,16,3,DIPLOMA,,1.28,0,1,57.5,FALSE,mobile,youtube,free,21,N,,asked about certificate,0
L-02767,2026-04-04,15,2,Bachelors,9.6,5.26,6,5,53.3,FALSE,mobile,youtube,free,18,No,,called on phone,0
L-02664,27-04-2026,23,2,High School,6.5,1.06,3,2,20.9,No,laptop,instagram,paid,20,0,,requested extension,0
L-01477,2026-02-17,22,2,High School,8.7,4.38,3,8,62.9,Y,mobile,instagram,scholarship,8,N,,,0
L-00526,23/04/2026,16,2,Bachelors,9.2,6.37,5,7,74.4,FALSE,desktop,school_partner,paid,10,TRUE,72.7,-,1
L-00512,2026-05-20,20,2,Diploma,7.9,3.2,7,1,85.5,no,mobile,ngo_outreach,scholarship,12,Y,77.0,asked about certificate,1
L-00484,2026-02-13,19,tier-1,High School,12.5,0.95,1,5,0.0,No,mobile,friend,free,25,no,,,0
L-01640,2026-02-23,17,tier-2,High School,10.0,2.83,4,9,77.3,Y,laptop,school_partner,free,32,Yes,76.6,-,1
L-01565,2026-01-09,22,Tier 3,Diploma,4.3,3.98,0,2,,no,mobile,instagram,paid,9,0,,n/a,0
L-01306,2026-01-06,23,2,High School,4.8,4.63,5,11,70.9,FALSE,laptop,youtube,scholarship,19,Yes,73.9,asked about certificate,1
L-02692,2026-04-01,27,tier-1,Bachelors,6.9,2.94,6,0,74.8,,ipad,youtube,paid,1,TRUE,79.5,,1
L-02521,2026-03-15,22,1,Other,3.3,3.31,5,4,42.0,no,laptop,school_partner,paid,24,1,71.0,follow up next intake,1
L-02465,23-02-2026,23,2,Diploma,10.1,4.59,8,7,54.7,No,phone,instagram,scholarship,4,TRUE,74.7,asked about certificate,1
L-02166,2026-01-16,15,2,Bachelors,3.4,1.6,0,3,17.6,No,laptop,school_partner,scholarship,23,N,39.4,,0
L-02561,2026-05-25,19,2,High-School,1.0,0.71,3,4,53.6,N,laptop,friend,paid,28,No,,requested extension,0
L-01701,15/03/2026,17,tier-2,DIPLOMA,9.0,1.5,5,8,75.2,no,MOBILE,ngo_outreach,scholarship,3,yes,69.9,,1
L-00093,03-03-2026,17,tier-2,Bachelors,5.7,3.17,7,9,65.5,1,mobile,instagram,scholarship,2,Y,85.9,,1
L-01897,2026-05-02,,3,High School,12.2,3.38,3,0,24.8,0,mobile,school_partner,free,19,No,,n/a,0
L-02754,12-05-2026,15,,Diploma,12.6,3.27,5,5,64.0,FALSE,phone,school_partner,scholarship,12,Yes,77.3,requested extension,1
L-00992,2026-05-15,18,1,Bachelors,14.0,2.49,0,4,26.0,no,laptop,instagram,free,31,FALSE,,duplicate?  check,0
L-00693,2026-05-26,27,1,Diploma,3.1,,4,9,48.9,,mobile,friend,scholarship,17,FALSE,,-,0
L-02710,2026-01-26,15,2,Diploma,6.5,3.32,5,5,87.7,Y,laptop,youtube,scholarship,5,Y,61.5,-,1
L-00549,2026-03-19,15,2,Bachelors,7.5,3.36,3,2,,1,laptop,instagram,free,26,1,71.2,called on phone,1
L-00980,2026-01-23,21,1,Bachelors,5.5,1.64,0,2,26.3,1,desktop,instagram,scholarship,35,0,,-,0
